Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
D13a	diode 3.5	0.250	1.713	0.075	1.713	0.075	1.713	Top	0.0
D6a	diode 3.5	2.350	1.213	2.525	1.213	2.525	1.213	Top	180.0
D2	diode 3.5	2.200	2.363	2.200	2.188	2.200	2.188	Top	90.0
D11a	diode 3.5	0.700	1.363	0.875	1.363	0.875	1.363	Top	180.0
D17	diode 3.5	0.600	2.363	0.600	2.188	0.600	2.188	Top	90.0
D7b	diode 3.5	2.350	1.513	2.175	1.513	2.175	1.513	Top	0.0
D14a	diode 3.5	0.250	1.513	0.075	1.513	0.075	1.513	Top	0.0
D12	diode 3.5	1.200	2.363	1.200	2.188	1.200	2.188	Top	90.0
D13b	diode 3.5	0.250	1.613	0.425	1.613	0.425	1.613	Top	180.0
D16b	diode 3.5	0.250	1.013	0.425	1.013	0.425	1.013	Top	180.0
D5b	diode 3.5	2.350	1.113	2.175	1.113	2.175	1.113	Top	0.0
D5a	diode 3.5	2.350	1.013	2.525	1.013	2.525	1.013	Top	180.0
D9	diode 3.5	1.500	2.363	1.500	2.188	1.500	2.188	Top	90.0
D5	diode 3.5	1.900	2.363	1.900	2.188	1.900	2.188	Top	90.0
D18a	diode 3.5	0.250	0.713	0.075	0.713	0.075	0.713	Top	0.0
D19	diode 3.5	0.400	2.363	0.400	2.188	0.400	2.188	Top	90.0
D2b	diode 3.5	2.350	0.513	2.175	0.513	2.175	0.513	Top	0.0
D7a	diode 3.5	2.350	1.413	2.525	1.413	2.525	1.413	Top	180.0
D14	diode 3.5	1.000	2.363	1.000	2.188	1.000	2.188	Top	90.0
DIP 1	DIP20	1.875	0.663	2.025	0.213	2.025	0.213	Top	90.0
DIP 2	DIP20	0.725	0.663	0.575	1.113	0.575	1.113	Top	-90.0
D6	diode 3.5	1.800	2.363	1.800	2.188	1.800	2.188	Top	90.0
D9b	diode 3.5	1.900	1.563	2.075	1.563	2.075	1.563	Top	180.0
D18b	diode 3.5	0.250	0.613	0.425	0.613	0.425	0.613	Top	180.0
D11b	diode 3.5	0.700	1.263	0.525	1.263	0.525	1.263	Top	0.0
D9a	diode 3.5	1.900	1.463	1.725	1.463	1.725	1.463	Top	0.0
D20b	diode 3.5	0.250	0.213	0.425	0.213	0.425	0.213	Top	180.0
D10a	diode 3.5	1.900	1.263	1.725	1.263	1.725	1.263	Top	0.0
D10b	diode 3.5	1.900	1.363	2.075	1.363	2.075	1.363	Top	180.0
D16	diode 3.5	0.800	2.363	0.800	2.188	0.800	2.188	Top	90.0
D18	diode 3.5	0.500	2.363	0.500	2.188	0.500	2.188	Top	90.0
D15b	diode 3.5	0.250	1.213	0.425	1.213	0.425	1.213	Top	180.0
D15a	diode 3.5	0.250	1.313	0.075	1.313	0.075	1.313	Top	0.0
D11	diode 3.5	1.300	2.363	1.300	2.188	1.300	2.188	Top	90.0
D17a	diode 3.5	0.250	0.913	0.075	0.913	0.075	0.913	Top	0.0
D7	diode 3.5	1.700	2.363	1.700	2.188	1.700	2.188	Top	90.0
D16a	diode 3.5	0.250	1.113	0.075	1.113	0.075	1.113	Top	0.0
D3	diode 3.5	2.100	2.363	2.100	2.188	2.100	2.188	Top	90.0
ZIF	ZIF	1.300	0.663	1.150	0.163	1.450	0.213	Top	0.0
D17b	diode 3.5	0.250	0.813	0.425	0.813	0.425	0.813	Top	180.0
D10	diode 3.5	1.400	2.363	1.400	2.188	1.400	2.188	Top	90.0
D8	diode 3.5	1.600	2.363	1.600	2.188	1.600	2.188	Top	90.0
D1	diode 3.5	2.300	2.363	2.300	2.188	2.300	2.188	Top	90.0
R1	res	1.112	1.813	0.975	1.813	0.975	1.813	Top	0.0
SW1	switch	1.398	1.952	1.290	1.775	1.290	1.775	Top	0.0
L1	smLED	1.100	1.976	1.150	1.976	1.150	1.976	Top	180.0
D4a	diode 3.5	2.350	0.813	2.525	0.813	2.525	0.813	Top	180.0
D12a	diode 3.5	0.700	1.563	0.875	1.563	0.875	1.563	Top	180.0
D8b	diode 3.5	2.350	1.713	2.175	1.713	2.175	1.713	Top	0.0
D1b	diode 3.5	2.350	0.313	2.175	0.313	2.175	0.313	Top	0.0
D19b	diode 3.5	0.250	0.413	0.425	0.413	0.425	0.413	Top	180.0
D1a	diode 3.5	2.350	0.213	2.525	0.213	2.525	0.213	Top	180.0
D20	diode 3.5	0.300	2.363	0.300	2.188	0.300	2.188	Top	90.0
D8a	diode 3.5	2.350	1.613	2.525	1.613	2.525	1.613	Top	180.0
D14b	diode 3.5	0.250	1.413	0.425	1.413	0.425	1.413	Top	180.0
D3a	diode 3.5	2.350	0.613	2.525	0.613	2.525	0.613	Top	180.0
D3b	diode 3.5	2.350	0.713	2.175	0.713	2.175	0.713	Top	0.0
D6b	diode 3.5	2.350	1.313	2.175	1.313	2.175	1.313	Top	0.0
D19a	diode 3.5	0.250	0.513	0.075	0.513	0.075	0.513	Top	0.0
D12b	diode 3.5	0.700	1.463	0.525	1.463	0.525	1.463	Top	0.0
D20a	diode 3.5	0.250	0.313	0.075	0.313	0.075	0.313	Top	0.0
D4	diode 3.5	2.000	2.363	2.000	2.188	2.000	2.188	Top	90.0
D4b	diode 3.5	2.350	0.913	2.175	0.913	2.175	0.913	Top	0.0
D15	diode 3.5	0.900	2.363	0.900	2.188	0.900	2.188	Top	90.0
D2a	diode 3.5	2.350	0.413	2.525	0.413	2.525	0.413	Top	180.0
D13	diode 3.5	1.100	2.363	1.100	2.188	1.100	2.188	Top	90.0
